City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,alta,69.9689,23.2717,1.59,86,75,2.06,NO,1696279557
344,kahama,-3.8333,32.6,26.14,16,27,5.01,TZ,1696279557
345,bixby,35.942,-95.8833,32.27,38,20,4.12,US,1696279261
346,sao jose da coroa grande,-8.8978,-35.1478,24.26,77,6,3.94,BR,1696279557
347,quellon,-43.1167,-73.6167,8.39,74,100,1.44,CL,1696279558
348,ngerengere,-6.75,38.1167,21.71,80,18,0.9,TZ,1696279558
349,mpika,-11.8343,31.4529,21.25,43,10,4.24,ZM,1696279558
350,puerto colombia,10.9878,-74.9547,32.05,78,100,5.53,CO,1696279558
351,kitimat,54.0524,-128.6534,14.39,65,93,2.68,CA,1696279487
352,aripuana,-9.1667,-60.6333,38.21,23,90,1.09,BR,1696279558
353,oriximina,-1.7656,-55.8661,35.36,31,94,1.95,BR,1696279506
354,menongue,-14.6585,17.691,22.25,50,91,1.92,AO,1696279559
355,saint-pierre,-21.3393,55.4781,21.82,78,0,2.57,RE,1696279559
356,garoua,9.3,13.4,24.42,91,99,1.01,CM,1696279559
357,borogontsy,62.6683,131.1683,7.38,87,100,2.24,RU,1696279559
358,castillos,-34.1667,-53.8333,14.05,81,23,2.29,UY,1696279559
359,port-gentil,-0.7193,8.7815,26.98,78,75,6.17,GA,1696279559
360,mermoz boabab,14.7065,-17.4758,28.88,84,0,3.09,SN,1696279560
361,niimi,34.9833,133.4667,11.33,81,99,1.62,JP,1696279560
362,kattivakkam,13.2167,80.3167,29.05,85,100,6.11,IN,1696279560
363,metlili chaamba,32.2667,3.6333,24.52,38,0,2.57,DZ,1696279560
